,City,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
0,Tuktoyaktuk,CA,69.44,-133.03,8.0,93,90,3.6
1,Whitehorse,CA,60.72,-135.06,12.0,71,20,5.7
2,Ushuaia,AR,-54.81,-68.31,-0.71,80,40,1.46
3,Bluff,NZ,-46.6,168.33,9.52,98,20,7.46
4,Amiens,FR,49.89,2.3,28.04,47,0,4.6
5,Saint-Augustin,CA,45.63,-73.98,22.42,60,90,5.1
6,Bambous Virieux,MU,-20.34,57.76,23.0,69,75,6.2
7,Kamina,CD,-8.74,25.0,28.32,28,0,3.76
8,Katsuura,JP,33.93,134.5,23.32,91,64,3.86
9,Komsomolskiy,RU,67.55,63.78,18.12,56,0,7.66
10,Taoudenni,ML,22.68,-3.98,45.12,11,0,4.56
11,Vaini,TO,-21.2,-175.2,21.0,64,40,4.1
12,Beloha,MG,-25.17,45.06,21.27,60,0,7.86
13,Gamba,GA,-2.72,10.02,23.92,92,36,5.46
14,Mtambile,TZ,-5.38,39.7,24.17,100,76,7.46
15,Hermanus,ZA,-34.42,19.24,20.37,31,0,1.06
16,Santo Domingo Suchitepequez,GT,14.48,-91.48,22.0,83,75,1.51
17,Albany,AU,-35.02,117.88,6.87,89,0,1.66
18,Port Alfred,ZA,-33.59,26.89,20.82,67,0,4.76
19,Feijo,BR,-8.16,-70.35,30.27,69,0,1.71
20,Bandarbeyla,SO,9.49,50.81,28.12,72,56,11.51
21,Prainha,BR,-1.8,-53.48,28.22,80,20,2.06
22,Pisco,PE,-13.71,-76.2,17.0,82,90,3.1
23,Mount Gambier,AU,-37.83,140.78,11.12,88,92,2.31
24,Severo-Kurilsk,RU,50.68,156.12,7.37,98,20,2.51
25,Punta Arenas,CL,-53.16,-70.91,0.0,100,90,1.0
26,Kaeo,NZ,-35.1,173.78,12.22,93,92,8.06
27,Butaritari,KI,3.07,172.79,27.62,100,36,4.61
28,Fremont,US,37.55,-121.99,15.8,77,75,3.6
29,Santa Lucia,ES,27.91,-15.54,24.0,69,20,12.3
30,Rocha,UY,-34.48,-54.34,10.87,98,92,8.51
31,Ati,TD,13.21,18.34,33.77,48,8,3.56
32,Narsaq,GL,60.91,-46.05,9.0,81,75,4.1
33,Yellowknife,CA,62.45,-114.38,14.0,71,40,4.6
34,Puerto Ayora,EC,-0.74,-90.35,23.0,78,75,4.6
35,Jiazi,CN,19.61,110.49,28.0,88,0,3.0
36,Suntar,RU,62.16,117.65,14.77,85,100,3.66
37,Kefamenanu,ID,-9.45,124.48,17.27,93,32,1.11
38,Qaanaaq,GL,77.48,-69.36,1.17,89,68,2.61
39,Saint-Philippe,RE,-21.36,55.77,22.0,60,20,8.7
40,Burnie,AU,-41.05,145.91,11.52,100,56,10.21
41,Hithadhoo,MV,-0.6,73.08,28.37,100,76,4.56
42,Busselton,AU,-33.64,115.35,13.47,100,0,4.66
43,Faanui,PF,-16.48,-151.75,27.02,100,68,2.51
44,Cambrai,FR,50.18,3.24,26.25,39,0,5.7
45,Chokurdakh,RU,70.62,147.9,9.47,100,88,5.26
46,New Norfolk,AU,-42.78,147.06,8.0,61,40,7.7
47,Makakilo City,US,21.35,-158.09,23.88,94,90,3.76
48,Klaksvik,FO,62.23,-6.59,11.0,81,20,7.7
49,Lae,PG,-6.72,146.98,18.62,100,56,0.81
50,Kailua,US,21.39,-157.74,23.84,94,90,3.76
51,Chintamani,IN,13.4,78.05,22.31,100,75,4.6
52,Hilo,US,19.71,-155.08,21.0,88,1,3.1
53,Beringovskiy,RU,63.05,179.32,7.52,100,92,10.36
54,Rikitea,PF,-23.12,-134.97,24.07,100,68,8.71
55,Fort Nelson,CA,58.81,-122.69,13.0,76,75,3.1
56,Saldanha,ZA,-33.01,17.94,25.0,29,0,4.1
57,Horta,PT,40.42,-8.49,22.0,78,40,4.1
58,Behshahr,IR,36.69,53.54,29.0,74,75,3.1
59,Atuona,PF,-9.8,-139.03,26.42,100,0,7.21
60,Cape Town,ZA,-33.93,18.42,25.0,23,0,3.6
61,Wilmington,US,39.75,-75.55,22.38,46,1,2.1
62,Illescas,ES,40.12,-3.85,32.71,21,40,2.1
63,Gasa,BT,27.91,89.73,5.32,81,92,0.86
64,Grindavik,IS,63.84,-22.43,10.22,93,90,9.8
65,Svetlogorsk,RU,53.14,59.15,27.0,54,75,6.0
66,Manta,EC,-0.95,-80.73,22.0,94,90,5.7
67,Termoli,IT,42.0,14.99,25.52,57,0,7.46
68,Hasaki,JP,35.73,140.83,25.0,100,75,4.1
69,Nuoro,IT,40.32,9.33,28.36,54,20,6.2
70,Saskylakh,RU,71.97,114.09,8.12,70,68,2.11
71,Dalbandin,PK,28.9,64.41,34.62,8,0,3.71
72,Pevek,RU,69.7,170.27,1.67,90,88,5.21
73,Cabo San Lucas,MX,22.89,-109.91,24.0,69,20,2.66
74,Ribeira Grande,PT,38.52,-28.7,23.0,78,20,4.1
75,Phatthalung,TH,7.62,100.08,27.42,77,36,3.76
76,Bredasdorp,ZA,-34.53,20.04,26.0,61,0,4.1
77,Dikson,RU,73.51,80.55,8.87,75,20,8.26
78,Barrow,US,39.51,-90.4,21.4,73,1,2.06
79,Carnarvon,AU,-24.87,113.63,15.92,100,0,2.76
80,Cayenne,GF,4.94,-52.33,30.0,74,40,1.5
81,Arraial do Cabo,BR,-22.97,-42.02,25.0,61,0,2.1
82,Nome,US,30.04,-94.42,25.73,83,90,1.5
83,Dalvik,IS,65.97,-18.53,14.0,58,20,8.7
84,Sangin,AF,32.07,64.85,33.32,13,0,1.96
85,Sitka,US,37.17,-99.65,28.97,55,0,3.21
86,Asyut,EG,27.18,31.19,39.0,15,0,5.1
87,Kapaa,US,22.08,-159.32,22.47,94,75,9.3
88,Alofi,NU,-19.06,-169.92,23.62,100,0,9.71
89,Sola,VU,-13.88,167.55,26.62,92,44,5.06
90,Lensk,RU,60.71,114.91,13.67,93,92,3.41
91,Iwanai,JP,42.97,140.51,14.82,95,68,1.06
92,Hobart,AU,-42.88,147.33,8.0,61,40,7.7
93,General Artigas,PY,-26.93,-56.22,10.59,76,90,6.2
94,Haines Junction,CA,60.75,-137.51,8.42,78,0,1.31
95,North Bend,US,43.41,-124.22,12.71,82,90,3.6
96,Tuatapere,NZ,-46.13,167.69,7.17,100,64,3.41
97,Maragogi,BR,-9.01,-35.22,24.67,94,92,4.41
98,Hofn,IS,64.25,-15.21,13.0,71,20,8.2
99,Maniitsoq,GL,65.42,-52.9,5.97,78,48,2.96
100,Nikolskoye,RU,59.7,30.79,17.0,77,75,5.0
101,Kortkeros,RU,61.81,51.56,20.0,77,40,3.0
102,Mahebourg,MU,-20.41,57.7,23.0,69,75,6.2
103,Porbandar,IN,21.64,69.61,28.17,91,100,5.71
104,Kavaratti,IN,10.57,72.64,28.72,96,88,10.21
105,Evansville,US,37.97,-87.56,23.2,73,1,1.5
106,Kodiak,US,39.95,-94.76,20.0,77,1,3.66
107,Mnogovershinnyy,RU,53.94,139.92,12.52,84,0,0.86
108,Progreso,MX,20.25,-99.19,16.47,84,48,1.46
109,Coihaique,CL,-45.58,-72.07,-5.91,92,90,1.16
110,Antalaha,MG,-14.9,50.28,23.17,77,80,6.01
111,Castro,CL,-42.48,-73.76,7.07,97,0,1.76
112,Atasu,KZ,48.68,71.64,28.97,38,0,3.41
113,Kavieng,PG,-2.57,150.8,28.67,100,68,1.46
114,Deputatskiy,RU,69.3,139.9,16.87,76,0,2.41
115,Batemans Bay,AU,-35.71,150.18,12.77,74,0,4.76
116,Grand Gaube,MU,-20.01,57.66,23.0,69,75,6.2
117,Port Hardy,CA,50.7,-127.42,14.0,93,75,1.5
118,Jinchang,CN,38.52,102.19,12.42,89,20,1.31
119,Axim,GH,4.87,-2.24,25.02,100,64,4.81
120,Quebrada Larga,HN,14.1,-86.37,23.67,73,64,2.61
121,Pirovskoye,RU,57.63,92.27,14.52,69,20,2.06
122,Jamestown,SH,-15.94,-5.72,20.02,100,0,5.66
123,Wewak,PG,-3.55,143.63,24.57,97,56,1.06
124,Raudeberg,NO,61.99,5.14,17.02,76,75,7.2
125,Meulaboh,ID,4.14,96.13,24.42,100,92,2.36
126,Salalah,OM,17.01,54.1,28.0,83,75,5.7
127,Northam,AU,-31.65,116.67,13.0,71,0,2.6
128,East London,ZA,-33.02,27.91,20.0,77,0,6.7
129,Markivka,UA,49.52,39.57,25.97,48,20,5.11
130,Yulara,AU,-25.24,130.99,7.0,45,0,3.6
131,Norman Wells,CA,65.28,-126.83,13.0,82,40,2.6
132,Tura,RU,64.27,100.22,11.52,82,12,0.91
133,Kudahuvadhoo,MV,2.67,72.89,29.47,98,88,5.26
134,Avarua,CK,-21.21,-159.78,20.0,68,75,4.6
135,Ponta do Sol,CV,17.2,-25.09,23.42,100,0,4.06
136,Sao Joao da Barra,BR,-21.64,-41.05,24.52,93,0,5.06
137,Tual,ID,-5.67,132.75,26.42,99,12,7.61
138,Sibu,MY,2.29,111.83,28.0,88,75,1.81
139,Korla,CN,41.76,86.15,27.12,32,92,2.61
140,Salina Cruz,MX,16.18,-95.2,28.27,66,0,5.66
141,Esperance,AU,-33.86,121.89,8.97,74,0,4.66
142,Garh Maharaja,PK,30.83,71.9,35.92,47,0,4.36
143,Saint George,BM,32.38,-64.68,28.0,74,75,6.7
144,Porterville,US,36.07,-119.02,21.27,49,1,2.6
145,Le Port,RE,-20.94,55.29,22.0,64,90,8.2
146,Yerbogachen,RU,61.28,108.01,8.77,99,92,3.21
147,Rafaela,AR,-31.25,-61.49,10.27,83,68,6.01
148,Taiyuan,CN,37.86,112.56,22.0,73,75,1.0
149,Kroya,ID,-6.5,108.06,24.02,77,0,1.36
150,Tshikapa,CD,-6.42,20.79,30.62,33,0,2.21
151,Suluq,LY,31.67,20.25,29.0,62,0,10.3
152,Clyde River,CA,70.47,-68.59,10.0,66,75,2.1
153,Mar del Plata,AR,-46.43,-67.52,-0.54,100,0,2.06
154,Vao,NC,-22.67,167.48,21.62,100,0,1.41
155,Chuy,UY,-33.69,-53.46,13.22,99,92,10.71
156,Bone,ID,-2.49,120.3,16.12,100,76,0.76
157,Lebu,CL,-37.62,-73.65,11.67,100,0,8.61
158,Havelock,US,34.88,-76.9,22.39,88,90,8.2
159,Vanimo,PG,-2.67,141.3,28.62,100,92,3.21
160,Portland,AU,-33.35,149.98,5.92,74,8,3.56
161,Geraldton,AU,-28.77,114.6,9.0,81,0,2.1
162,Erzin,RU,50.26,95.16,11.42,49,0,2.76
163,Onega,RU,63.91,38.09,15.92,79,12,6.01
164,Upernavik,GL,72.79,-56.15,0.37,100,48,5.01
165,Bellavista,PE,-7.06,-76.59,23.0,88,20,0.56
166,San Patricio,MX,19.22,-104.7,23.0,73,40,3.1
167,Evensk,RU,61.92,159.24,10.92,96,88,2.76
168,Kosonsoy,UZ,41.25,71.55,38.0,21,24,2.1
169,Port Shepstone,ZA,-30.74,30.45,18.62,97,36,4.31
170,Kautokeino,NO,69.01,23.04,15.12,69,48,1.61
171,Khatanga,RU,71.98,102.47,12.77,56,0,2.31
172,Zunyi,CN,27.73,106.92,20.62,96,88,1.16
173,Murmashi,RU,68.82,32.82,18.0,45,0,5.0
174,Adrar,DZ,27.87,-0.29,48.0,6,76,10.3
175,Oranjemund,NA,-28.55,16.43,20.52,68,0,4.31
176,Kutum,SD,14.2,24.66,24.62,77,24,4.16
177,Urengoy,RU,65.96,78.37,17.87,96,88,6.26
178,Qianan,CN,44.99,124.06,21.12,94,12,6.46
179,Uk,RU,55.08,98.86,11.77,95,92,1.31
180,Praia,CV,14.92,-23.51,26.67,87,20,1.26
181,Minna,NG,9.62,6.55,30.57,76,68,2.36
182,Amuntai,ID,-2.42,115.25,23.82,94,32,0.76
183,Kahului,US,20.89,-156.47,21.84,94,20,5.1
184,Cherskiy,RU,68.75,161.3,7.47,55,92,2.91
185,Strezhevoy,RU,60.73,77.6,24.0,47,0,4.0
186,Soe,ID,-9.86,124.28,17.27,93,32,1.11
187,Los Llanos de Aridane,ES,28.66,-17.92,24.0,64,20,5.1
188,Poum,NC,-20.23,164.02,23.47,100,48,3.56
189,Marsh Harbour,BS,26.54,-77.06,28.67,99,12,2.51
190,Abbeville,US,29.97,-92.13,24.27,100,90,1.86
191,Mayo,CA,63.59,-135.9,12.0,81,20,2.26
192,Muros,ES,42.77,-9.06,27.0,61,40,3.6
193,Vestmannaeyjar,IS,63.44,-20.27,10.0,93,40,7.7
194,Blythe,US,33.61,-114.59,33.0,38,1,2.6
195,Leningradskiy,RU,69.38,178.42,-0.89,97,68,8.66
196,Aklavik,CA,68.22,-135.01,15.14,87,75,1.5
197,Dingle,IE,52.14,-10.27,18.17,86,8,2.91
198,Noumea,NC,-22.28,166.46,15.0,87,0,0.5
199,Ust-Nera,RU,64.57,143.24,15.12,67,0,0.86
200,Chernyshevskiy,RU,63.01,112.47,7.77,93,92,3.26
201,Mali,GN,12.08,-12.3,25.97,91,80,1.51
202,Thompson,CA,55.74,-97.86,14.0,71,90,4.1
203,Kindu,CD,-2.95,25.92,33.77,23,0,0.71
204,Alta Floresta,BR,-9.87,-56.08,31.52,49,0,1.31
205,Neiafu,TO,-18.65,-173.98,21.0,88,75,2.6
206,Guozhen,CN,29.3,113.14,24.47,97,88,1.61
207,Cidreira,BR,-30.17,-50.22,13.62,86,0,10.96
208,Gazli,UZ,40.13,63.45,37.02,12,0,3.36
209,Biak,ID,-0.91,122.88,23.12,100,68,2.61
210,Hsinchu,TW,24.8,120.97,27.96,83,40,1.5
211,Bilibino,RU,68.06,166.44,8.97,61,56,1.11
212,Hamilton,BM,32.3,-64.78,28.0,74,75,6.7
213,Palasa,IN,18.77,84.42,28.27,97,48,4.26
214,Olga,RU,43.74,135.29,10.07,90,76,0.96
215,Terra Nova,BR,-12.41,-38.62,23.0,94,75,5.1
216,Nemuro,JP,43.32,145.57,10.72,100,36,4.31
217,Torbay,CA,47.66,-52.73,18.35,42,20,11.8
218,Marshfield,US,42.09,-70.71,22.08,60,1,1.11
219,Machinga,MW,-15.18,35.3,21.0,77,40,7.7
220,Griffith,AU,-34.29,146.06,10.12,86,56,4.61
221,Baruun-Urt,MN,46.68,113.28,10.77,93,44,5.26
222,Bethel,US,60.79,-161.76,8.0,100,90,9.8
223,Arnedo,ES,42.23,-2.1,30.08,45,20,2.1
224,Tiksi,RU,71.64,128.87,3.27,95,88,4.31
225,Sharan,AF,33.15,68.78,23.77,19,12,2.66
226,Norfolk,US,36.85,-76.29,23.17,69,75,7.7
227,Argentan,FR,48.74,-0.02,25.0,53,0,5.1
228,Omsukchan,RU,62.53,155.8,13.22,70,12,1.31
229,Cap Malheureux,MU,-19.98,57.61,23.0,69,75,3.6
230,Srednekolymsk,RU,67.46,153.71,17.87,62,0,1.16
231,Kiunga,PG,-6.12,141.3,22.67,96,88,0.86
232,Harper,LR,4.38,-7.71,25.97,100,80,5.31
233,Cavalcante,BR,-13.79,-47.46,29.37,33,0,3.56
234,Segou,ML,13.43,-6.22,31.82,87,12,2.06
235,Lakes Entrance,AU,-37.88,147.99,11.22,88,92,8.06
236,Takoradi,GH,4.89,-1.75,25.07,94,80,3.91
237,Mabaruma,GY,8.2,-59.78,25.67,100,80,1.76
238,Celestun,MX,20.87,-90.4,27.22,100,20,5.46
239,Naze,JP,28.37,129.48,26.92,99,8,5.46
240,Mana,GF,5.67,-53.78,30.67,68,8,1.56
241,Hutchinson,US,38.06,-97.93,21.37,77,1,3.51
242,Secunda,ZA,-26.52,29.2,14.12,39,0,2.16
243,Verrettes,HT,19.05,-72.47,30.0,58,20,6.2
244,Kayes,ML,14.44,-11.44,31.47,85,0,2.76
245,Araouane,ML,18.9,-3.53,43.62,13,0,3.76
246,Collie,AU,-33.36,116.15,5.97,85,0,1.61
247,Mount Isa,AU,-20.73,139.49,15.0,22,0,4.6
248,Alto Araguaia,BR,-17.32,-53.22,29.97,27,0,1.76
249,Dunedin,NZ,-45.87,170.5,2.97,79,64,1.21
250,Mangochi,MW,-14.48,35.26,22.67,61,80,3.81
251,Provideniya,RU,64.42,-173.23,4.42,100,100,11.76
252,Srivardhan,IN,18.03,73.02,22.82,100,92,1.71
253,Tigil,RU,57.8,158.67,11.97,75,0,4.11
254,Huilong,CN,31.15,106.5,26.27,78,92,2.01
255,Point Pedro,LK,9.82,80.23,30.27,85,32,11.41
256,Nicoya,CR,10.15,-85.45,29.0,66,20,2.1
257,Kuah,MY,6.33,99.84,28.0,88,75,0.5
258,Ostrovnoy,RU,68.05,39.51,9.52,77,0,6.16
259,Weinan,CN,34.5,109.46,23.0,94,90,2.0
260,Nanakuli,US,21.39,-158.15,23.52,94,90,2.1
261,Tommot,RU,58.97,126.27,20.32,54,0,1.86
262,Isangel,VU,-19.55,169.27,24.07,97,24,4.11
263,Souillac,MU,-20.52,57.52,23.0,69,75,3.6
264,Georgetown,SH,-7.93,-14.42,24.47,100,68,7.46
265,Kaitangata,NZ,-46.28,169.85,3.12,72,8,2.51
266,Kirtipur,NP,27.68,85.28,24.0,83,75,2.6
267,Cornelius,US,45.52,-123.06,14.34,93,1,2.1
268,Nanortalik,GL,60.14,-45.24,2.62,97,92,1.31
269,Handia,IN,25.36,82.19,32.52,61,8,4.61
270,Kruisfontein,ZA,-34.0,24.73,20.27,61,0,2.86
271,Honiara,SB,-9.43,159.96,23.0,100,75,1.76
272,Qinhuangdao,CN,39.94,119.59,21.12,100,92,1.31
273,Marsaxlokk,MT,35.84,14.54,30.0,40,0,5.7
274,Kalabo,ZM,-15.0,22.67,22.47,36,76,3.31
275,Tasiilaq,GL,65.61,-37.64,6.0,87,75,5.7
276,Smolenka,RU,54.28,56.05,26.0,54,75,4.0
277,Port-Gentil,GA,-0.72,8.78,27.0,74,40,6.7
278,Umea,SE,63.83,20.26,20.0,56,0,4.1
279,Constitucion,MX,23.99,-104.67,18.0,72,40,1.91
280,Ixtapa,MX,20.71,-105.21,24.0,100,75,2.1
281,Gaya,NE,11.88,3.46,33.02,75,36,2.06
282,Shieli,KZ,44.18,66.74,36.62,17,0,5.26
283,Svolvaer,NO,68.23,14.57,12.0,81,75,3.6
284,Port Augusta,AU,-32.49,137.76,9.0,81,90,2.1
285,Vanavara,RU,60.35,102.28,13.87,59,80,2.76
286,Chontalpa,MX,17.7,-93.52,29.47,65,56,3.66
287,Prince Rupert,CA,54.32,-130.32,14.0,93,90,2.1
288,Aswan,EG,24.09,32.9,42.0,9,0,6.7
289,Fortuna,US,40.6,-124.16,13.0,93,90,2.6
290,Port Keats,AU,-14.25,129.55,19.62,63,0,5.51
291,Hualmay,PE,-11.1,-77.61,17.27,80,24,1.31
292,Igarka,RU,67.47,86.57,18.72,42,88,9.16
293,Comrat,MD,46.3,28.66,25.57,57,88,3.31
294,Gidam,IN,18.98,81.4,22.12,96,64,2.16
295,Dong Xoai,VN,11.53,106.92,22.97,98,92,1.41
296,Karratha,AU,-20.74,116.85,11.12,76,0,1.31
297,Mikkeli,FI,61.69,27.27,17.0,82,90,1.5
298,Grand-Santi,GF,4.27,-54.38,29.47,66,0,1.61
299,Kingston,CA,44.23,-76.48,23.39,78,75,5.7
300,Benjamin Hill,MX,30.17,-111.1,28.27,55,0,1.81
301,Gao,ML,16.28,-0.04,36.87,44,0,2.41
302,Kargasok,RU,59.06,80.87,17.82,63,0,1.96
303,Nouakchott,MR,18.08,-15.98,24.17,100,36,4.16
304,Smidovich,RU,48.6,133.81,16.87,69,64,1.51
305,Kalmunai,LK,7.42,81.82,27.92,67,12,3.91
306,Berlevag,NO,70.86,29.09,14.0,67,0,3.1
307,Vestmanna,FO,62.16,-7.17,11.0,81,68,7.7
308,Sorland,NO,67.67,12.69,11.0,93,75,8.2
309,Amga,RU,60.89,131.98,20.62,85,0,1.06
310,Marfino,RU,56.07,37.56,20.35,72,40,5.0
311,Westport,IE,53.8,-9.52,20.0,72,75,2.1
312,Fairbanks,US,64.84,-147.72,16.99,67,90,4.46
313,Port Elizabeth,ZA,-33.92,25.57,19.0,48,0,3.1
314,Betul,IN,21.92,77.9,26.32,83,48,4.66
315,Curaca,BR,-8.99,-39.91,29.57,39,0,4.56
316,Victor Harbor,AU,-35.55,138.62,13.0,66,75,3.6
317,Rio Grande,BR,-32.03,-52.1,14.0,76,20,6.7
318,Murgab,TM,37.5,61.97,42.0,8,0,6.2
319,Buala,SB,-8.15,159.59,26.62,97,92,4.46
320,Columbus,US,32.46,-84.99,24.6,94,90,1.5
321,Ekhabi,RU,53.51,142.97,13.27,61,0,2.41
322,Taunggyi,MM,20.78,97.03,19.62,100,92,1.01
323,Mao,TD,14.12,15.31,35.07,52,0,3.71
324,Tougan,BF,13.07,-3.07,30.97,87,0,1.96
325,Bonavista,CA,48.65,-53.11,16.97,59,0,9.06
326,Pitimbu,BR,-7.47,-34.81,25.0,83,75,5.1
327,Taltal,CL,-25.41,-70.49,15.02,81,0,0.06
328,Cururupu,BR,-1.82,-44.87,27.67,87,68,3.81
329,Gushikawa,JP,26.35,127.87,27.36,83,1,4.1
330,Ilulissat,GL,69.22,-51.1,6.0,70,40,3.1
331,Bitung,ID,1.44,125.19,28.0,65,40,3.6
